id,govid,govname,award,profile_url,year,name,affiliation,location,deceased
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/caroline-breese-hall/,2002,Caroline Breese Hall,University of Rochester School of Medicine and Dentistry,New York,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/mark-a-hall/,2014,Mark A. Hall,Wake Forest University,North Carolina,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/michael-j-halberstam/,1973,Michael J. Halberstam,The George Washington University,District of Columbia,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/victoria-g-hale/,2007,Victoria G. Hale,"Sacred Medicines, PBC",California,
