profile_url,name,membership_type,deceased,affiliation,year,location,double_check_detail,double_check_status
https://www.nasonline.org/directory-entry/frank-h-stillinger-jrtztn/,Frank H. Stillinger,member,,Princeton University,1984,,status=404,confirmed_missing
https://www.nasonline.org/directory-entry/squire-j-booker-hlhtmg/,Squire J. Booker,member,,The Pennsylvania State University - University Park,2019,,status=404,confirmed_missing
