id,govid,govname,award,year,name,affiliation,deceased,profile_url,biographical_memoir_available,membership_type,primary_section,public_welfare_medal,secondary_section,location
2023,222,National Academy of Sciences,NAS Member,1983,Allan M. Cormack,Tufts University,Y,https://www.nasonline.org/directory-entry/allan-m-cormack-9bdhpw/,No,Member,Section 33: Applied Physical Sciences,,,
2023,222,National Academy of Sciences,NAS Member,1970,Derek H. R. Barton,Texas A&M University-College Station,Y,https://www.nasonline.org/directory-entry/derek-h-r-barton-xdypbn/,No,International Member,Section 14: Chemistry,,,
2023,222,National Academy of Sciences,NAS Member,1938,Edward A. Doisy,Saint Louis University,Y,https://www.nasonline.org/directory-entry/edward-a-doisy-tk1kut/,No,Member,Section 21: Biochemistry,,,
2023,222,National Academy of Sciences,NAS Member,1944,Hans A. Bethe,Cornell University,Y,https://www.nasonline.org/directory-entry/hans-a-bethe-lyrcwn/,Yes,Member,Section 13: Physics,,,
2023,222,National Academy of Sciences,NAS Member,1966,P. M. S. Blackett,,Y,https://www.nasonline.org/directory-entry/p-m-s-blackett-lgivx6/,No,International Member,,,,
