id_before,govid_before,govname_before,award_before,profile_url,name_before,title_before,affiliation_before,other_affiliations_before,location_before,year_before,deceased_before,id_after,govid_after,govname_after,award_after,name_after,title_after,affiliation_after,other_affiliations_after,location_after,year_after,deceased_after
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/28211/Dr-A-Alan-B-Pritsker,A. Alan B. Pritsker,Senior Consultant,Pritsker Corporation,"Pritsker & Associates, Inc., Pritsker Corporation, Symix Systems, Inc.",,,Y,3008,221,National Academy of Engineering,NAE Membership,A. Alan B. Pritsker,Senior Consultant,Pritsker Corporation,"Symix Systems, Inc., Purdue University, Pritsker Corporation",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/29715/Mr-Leo-R-Beard,Leo R. Beard,Professor Emeritus,The University of Texas at Austin,"Espey, Huston & Associates, Inc., The University of Texas at Austin, The University of Texas at Austin",,,Y,3008,221,National Academy of Engineering,NAE Membership,Leo R. Beard,Professor Emeritus,The University of Texas at Austin,"The University of Texas at Austin, The University of Texas at Austin, Espey, Huston & Associates, Inc.",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30580/Professor-Sir-Peter-B-Hirsch,Sir Peter B. Hirsch,Professor Emeritus,University of Oxford,University of Oxford,"Oxford, Oxfordshire, United Kingdom",,,3008,221,National Academy of Engineering,NAE Membership,Sir Peter B. Hirsch,Professor Emeritus,University of Oxford,University of Oxford,,,Y
