id,govid,govname,award,year,name,affiliation,deceased,profile_url,membership_type,primary_section,biographical_memoir_available,public_welfare_medal,secondary_section,location
2023,222,National Academy of Sciences,NAS Member,1983,A. M. Cormack,Tufts University,Y,https://www.nasonline.org/directory-entry/a-m-cormack-9bdhpw/,Member,Section 33: Applied Physical Sciences,No,,,
2023,222,National Academy of Sciences,NAS Member,1970,D. H. R. Barton,Texas A&M University-College Station,Y,https://www.nasonline.org/directory-entry/d-h-r-barton-xdypbn/,International Member,Section 14: Chemistry,No,,,
2023,222,National Academy of Sciences,NAS Member,1938,E. A. Doisy,Saint Louis University,Y,https://www.nasonline.org/directory-entry/e-a-doisy-tk1kut/,Member,Section 21: Biochemistry,No,,,
2023,222,National Academy of Sciences,NAS Member,1944,H. A. Bethe,Cornell University,Y,https://www.nasonline.org/directory-entry/h-a-bethe-lyrcwn/,Member,Section 13: Physics,Yes,,,
2023,222,National Academy of Sciences,NAS Member,1966,P. M. S. B. Blackett,,Y,https://www.nasonline.org/directory-entry/p-m-s-b-blackett-lgivx6/,International Member,,No,,,
