id,govid,govname,award,profile_url,name,title,affiliation,other_affiliations,location,year,deceased
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30349/Dr-James-A-Dumesic,James A. Dumesic,Professor,University of Wisconsin-Madison,University of Wisconsin-Madison,"Madison, Wisconsin, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30350/Lt-Gen-Carroll-H-Dunn,Lt. Gen. Carroll H. Dunn,Retired Consultant,Independent Consultant,Independent Consultant,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30351/Mr-Walter-A-Elmore,Walter A. Elmore,Retired Consulting Engineer,"ABB Power T&D Company, Inc.","ABB Power T&D Company, Inc.",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30352/Dr-Arthur-M-Geoffrion,Arthur M. Geoffrion,James A. Collins Chair in Management Emeritus,"University of California, Los Angeles","University of California, Los Angeles","Santa Monica, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30386/Dr-Gerrit-A-Blaauw,Gerrit A. Blaauw,Professor Emeritus of Digital Technique,University of Twente,University of Twente,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30387/Dr-Gorimir-G-Chernyi,Gorimir G. Chernyi,Scientific Counsellor,Russian Academy of Sciences,Russian Academy of Sciences,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30388/Dr-KunMo-Chung,KunMo Chung,Advisor,Korea Electric Power Corporation,"Korea Electric Power Corporation, Global Energy Environment System, Inc., Ajou University","Seoul, South Korea",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30389/Dr-Leo-CM-de-Maeyer,Leo C.M. de Maeyer,Director Emeritus,Max Planck Institute for Biophysical Chemistry,Max Planck Institute for Biophysical Chemistry,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30394/Admiral-Frank-L-Bowman,Admiral Frank L. Bowman,President,"Strategic Decisions, LLC","Strategic Decisions, LLC, U.S. Department of the Navy, Nuclear Energy Institute","North Potomac, Maryland, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30397/Dr-John-M-Cioffi,John M. Cioffi,"Hitachi American Endowed Professor Emeritus, Recalled",Stanford University,Stanford University,"Stanford, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30399/Dr-Stephen-R-Forrest,Stephen R Forrest,Professor,University of Michigan,"University of Michigan, Princeton University","Ann Arbor, Michigan, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30400/Dr-Tamer-Basar,Tamer Basar,Swanlund Endowed Chair & Director of the Center for Advanced Study Emeritus,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,"Urbana, Illinois, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30401/Dr-James-F-Blinn,James F. Blinn,,Retired-Other,"Microsoft Research Lab - Redmond, Microsoft Corporation, Retired-Other","Mercer Island, Washington, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30402/Dr-Seth-Bonder,Seth Bonder,Consultant,The Bonder Group,"Vector Research, Inc., The Bonder Group",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30403/Dr-Ned-Hamilton-Burns,Ned Hamilton Burns,Zarrow Centennial Professor Emeritus of Engineering,The University of Texas at Austin,The University of Texas at Austin,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30404/Dr-Edwin-E-Catmull,Edwin E. Catmull,President (retired),Walt Disney and Pixar Animation Studios,"Walt Disney and Pixar Animation Studios, Pixar Animation Studios","Tiburon, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30405/Dr-James-W-Cooley,James W. Cooley,,IBM Thomas J. Watson Research Center,"University of Rhode Island, IBM Thomas J. Watson Research Center",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30406/Dr-Charles-R-Cutler,Charles R. Cutler,Distinguished Adjunct Professor of Chemical and Biomolecular Engineering,University of Houston,"Cutler Technology, Inc., University of Houston, Aspen Technologies",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30407/Dr-Michael-Ettenberg,Michael Ettenberg,Retired,Dolce Technologies,"Dolce Technologies, Suzmar LLC, Sarnoff Corporation","New York, New York, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30408/Professor-Jean-M-Frchet,Jean M. Fréchet,"Emeritus Professor of Chemistry, Chemical & Biological Engineering","University of California, Berkeley","University of California, Berkeley, King Abdullah University of Science and Technology (KAUST), University of California, Berkeley","Berkeley, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30409/Dr-Ivan-T-Frisch,Ivan T. Frisch,Presidental Fellow,New York University,"New York University, Polytechnic University, Polytechnic Institute of NYU",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30426/Mr-Paul-Citron,Paul Citron,"Vice President, Technology Policy and Academic Relations (retired)","Medtronic, Inc.","Medtronic, Inc.","Rancho Santa Fe, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30448/Dr-ChunYen-Chang,Chun-Yen Chang,"National Endowed Chair-Professor and President, Emeritus",National Chiao Tung University,National Chiao Tung University,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30449/Dr-Luis-Esteva,Luis Esteva,Professor,National University of Mexico,National University of Mexico,"Mexico City, Mexico",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30454/Mr-Andreas-von-Bechtolsheim,Andreas von Bechtolsheim,Chairman,"Arista Networks, Inc.","Arista Networks, Inc., Sun Microsystems, Inc., Cisco Systems Inc.","Santa Clara, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30459/Dr-Ruth-A-David,Ruth A. David,President and Chief Executive Officer (retired),ANSER (Analytic Services Inc.),"ANSER (Analytic Services Inc.), ANSER (Analytic Services Inc.)","Gordonville, Texas, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30462/Mr-Ken-Austin,Ken Austin,Founder,"A-dec, Inc.","A-dec, Inc.",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30463/Dr-Benton-F-Baugh,Benton F. Baugh,Distinguished Adjunct Professor of Mechanical Engineering,University of Houston,"University of Houston, Radoil Inc.","Houston, Texas, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30464/Dr-Mark-G-Benz,Mark G. Benz,Metallurgist,"Engineering Horizons International, LLC","Engineering Horizons International, LLC, GE Corporate Research and Development","Lincoln, Vermont, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30465/Dr-Robert-W-Bower,Robert W. Bower,Professor Emeritus,"University of California, Davis","University of California, Davis",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30466/Mr-Wesley-A-Clark,Wesley A. Clark,Principal,"Clark, Rockoff and Associates","Clark, Rockoff and Associates",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30467/Dr-David-R-Clarke,David R. Clarke,Professor of Materials,Harvard University,"Harvard University, University of California, Santa Barbara","Boston, Massachusetts, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30468/Dr-Reg-Davies,Reg Davies,Consultant (retired),Particle Science and Technology,"E.I. du Pont de Nemours & Company, Particle Science and Technology",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30469/Dr-James-W-Demmel,James W. Demmel,Professor,"University of California, Berkeley","University of California, Berkeley","Berkeley, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30470/Dr-Haren-S-Gandhi,Haren S. Gandhi,Ford Technical Fellow and Manager,Ford Motor Company,Ford Motor Company,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30471/Mr-Louis-V-Gerstner-Jr,Louis V. Gerstner,Chairman & Chief Executive Officer (retired),International Business Machines Corporation,"International Business Machines Corporation, The Carlyle Group, International Business Machines Corporation","Armonk, New York, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30472/Dr-Don-Peyton-Giddens,Don Peyton Giddens,Professor and Dean,Georgia Institute of Technology,Georgia Institute of Technology,"Hilton Head Island, South Carolina, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30506/Dr-Vitelmo-V-Bertero,Vitelmo V. Bertero,Professor Emeritus of Civil and Environmental Engineering,"University of California, Berkeley","University of California, Berkeley",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30507/Dr-Gilbert-F-Froment,Gilbert F. Froment,Research Professor,Texas A&M University-College Station,"Texas A&M University-College Station, Ghent University","College Station, Texas, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30513/Dr-Farouk-ElBaz,Farouk El-Baz,"Director, Center for Remote Sensing & Research Professor",Boston University,Boston University,"Boston, Massachusetts, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30514/Dr-W-Gene-Corley,W. Gene Corley,Senior Vice President,CTLGroup,CTLGroup,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30517/Dr-James-A-Brierley,James A. Brierley,Biohydrometallurgy Consultant,Brierley Consultancy LLC,"Brierley Consultancy LLC, Newmont Mining Corporation","Highlands Ranch, Colorado, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30520/Dr-Rodney-A-Brooks,Rodney A. Brooks,Panasonic Professor of Robotics Emeritus,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30522/Dr-Georges-Belfort,Georges Belfort,Institute Professor,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,"Troy, New York, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30525/Dr-Robert-P-Colwell,Robert P. Colwell,President,R & E Colwell & Associates,"R & E Colwell & Associates, R & E Colwell & Associates, Intel Corporation","Portland, Oregon, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30533/Dr-David-E-Borth,David E. Borth,"Consultant VP & Director, Motorola Labs (retired)","Motorola, Inc.","Motorola Corporation, Motorola, Inc.","Palatine, Illinois, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30538/Dr-Eric-A-Brewer,Eric A. Brewer,Professor,"University of California, Berkeley","University of California, Berkeley","Mill Valley, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30539/Dr-James-D-Foley,James D. Foley,Professor and Fleming Chair Emeritus College of Computing,Georgia Institute of Technology,"Georgia Institute of Technology, Yamacraw Mission","Atlanta, Georgia, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30542/Dr-Rodica-A-Baranescu,Rodica A. Baranescu,Professor Emerita,University of Illinois at Chicago,"University of Illinois at Chicago, Navistar, Inc., International Truck & Engine Corporation","Downers Grove, Illinois, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30543/Dr-Dimitri-P-Bertsekas,Dimitri P. Bertsekas,McAfee Professor of Engineering,Massachusetts Institute of Technology,Massachusetts Institute of Technology,"Cambridge, Massachusetts, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30544/Dr-Meyer-J-Benzakein,Meyer J. Benzakein,Assistant Vice President Aerospace and Aviation Research,The Ohio State University,"The Ohio State University, GE Aircraft Engines",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30545/Dr-Joost-A-Businger,Joost A. Businger,Professor Emeritus,University of Washington,University of Washington,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30546/Mr-William-Cavanaugh-III,William Cavanaugh,"Professor Emeritus, Institute for Advanced Discovery & Innovation",University of South Florida,"University of South Florida, World Association of Nuclear Operations (WANO), Progress Energy","Raleigh, North Carolina, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30547/Mr-Richard-W-Couch-Jr,Richard W. Couch,Chairman of the Board,"Hypertherm, Inc.","Hypertherm, Inc.","Hanover, New Hampshire, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30548/Mrs-Natalie-W-Crawford,Natalie W. Crawford,Senior Fellow,The RAND Corporation,The RAND Corporation,"Santa Monica, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30549/Dr-David-A-Edwards,David A. Edwards,Gordon McKay Professor of the Practice of Biomedical Engineering,Harvard University,"Harvard University, Advanced Inhalation Research, Inc., Alkermes, Inc.","Cambridge, Massachusetts, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30550/Dr-LiangShih-Fan,Liang-Shih Fan,Distinguished University Professor and C. John Easton Professor in Engineering,The Ohio State University,The Ohio State University,"Columbus, Ohio, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30551/Mr-Eugene-C-Figg-Jr,Eugene C. Figg,President and CEO,Figg Engineering Group,Figg Engineering Group,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30572/Dr-Mark-E-Dean,Mark E. Dean,Professor Emeritus,"The University of Tennessee, Knoxville","The University of Tennessee, Knoxville, IBM Thomas J. Watson Research Center, IBM Almaden Research Center","Jefferson City, Tennessee, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30577/Sir-Eric-Ash,Sir Eric Ash,Retired Rector,Imperial College London,"The Royal Society, Ocean Power Technologies Inc., Hydroventuri Ltd.",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30578/Dr-P-Ole-Fanger,P. Ole Fanger,"Senior Professor, International Centre for Indoor Environment and Energy",Technical University of Denmark,Technical University of Denmark,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30579/Dr-K-S-Eric-Forssberg,K. S. Eric Forssberg,Professor of Mineral Processing,Lulea University of Technology,Lulea University of Technology,"Luleå, Norrbottens län, Sweden",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30586/Dr-Harold-G-Craighead,Harold G. Craighead,Professor,Cornell University,Cornell University,"Ithaca, New York, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30587/Dr-Stephen-PA-Fodor,Stephen P.A. Fodor,Dr. Stephen P.A. Fodor,"13.8, Inc.","Cellular Research, Inc., Affymetrix, Inc., 13.8, Inc.","Palo Alto, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30592/Dr-Cristina-H-Amon,Cristina H. Amon,"University Professor, Dean Emerita",University of Toronto,"University of Toronto, Carnegie Mellon University","Toronto, Ontario, Canada",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30595/Dr-Hiroyuki-Abe,Hiroyuki Abe,President Emeritus,Engineering Academy of Japan,"Engineering Academy of Japan, Government of Japan, Tohoku University","Chiyoda-Ku, Tokyo, Japan",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30596/Professor-Brian-DO-Anderson,Brian D.O. Anderson,Emeritus Professor,Australian National University,"Australian National University, The Australian National University, National ICT Australia Limited","Acton, Australia",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30597/Acad-Vladimir-E-Fortov,Acad. Vladimir E. Fortov,Academician Secretary,Russian Academy of Sciences,Russian Academy of Sciences,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30623/Dr-Fred-Glover,Fred Glover,Chief Technology Officer,"Entanglement, Inc.","Entanglement, Inc., University of Colorado Boulder","New York, New York, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30624/Dr-Robert-E-Fontana-Jr,Robert E. Fontana,Senior Research Scientist (retired),IBM Almaden Research Center,"IBM Almaden Research Center, Hitachi Global Storage Technologies, IBM Almaden Research Center","San Jose, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30626/Mr-John-H-Crawford,John H. Crawford,Intel Fellow (retired),Intel Corporation,Intel Corporation,"The Villages, Florida, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30627/Dr-Henry-Cox,Henry Cox,L.M. Senior Fellow,Lockheed Martin Corporation,"Lockheed Martin Corporation, ORINCON Corporation International, Lockheed Martin ORINCON Defense","Manassas, Virginia, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30628/Professor-Rakesh-Agrawal,Rakesh Agrawal,Winthrop E. Stone Distinguished Professor,Purdue University,"Purdue University, Air Products and Chemicals, Inc.","West Lafayette, Indiana, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30629/Dr-William-F-Banholzer,William F. Banholzer,Professor of Practice,University of Wisconsin-Madison,"University of Wisconsin-Madison, The Dow Chemical Company","Madison, Wisconsin, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30630/Dr-Andrew-Brown-Jr,Andrew Brown,CEO & CTO,Diamond Consulting,"Diamond Consulting, Delphi Automotive Systems, Delphi Corporation","Southfield, Michigan, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30631/Dr-Joe-Charles-Campbell,Joe Charles Campbell,Professor,University of Virginia,"University of Virginia, The University of Texas at Austin","Charlottesville, Virginia, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30632/Dr-Morris-Chang,Morris Chang,Founder,"Taiwan Semiconductor Manufacturing Co., Ltd.","Taiwan Semiconductor Manufacturing Co., Ltd.","Taipei 110208, Taiwan",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30633/Dr-Andrew-R-Chraplyvy,Andrew R. Chraplyvy,Optical Technologies Research VP,Nokia Bell Labs,"Nokia Bell Labs, Bell Labs, Alcatel-Lucent, Bell Laboratories, Lucent Technologies","Holmdel, New Jersey, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30634/Mr-Joseph-M-Colucci,Joseph M. Colucci,"Executive Director, Materials Research (retired)",General Motors Research and Development,"Automotive Fuels Consulting, Inc., General Motors Research and Development","Oberlin, Ohio, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30663/Mr-Roger-E-M-Brard,Roger E. M. Brard,,University of Nantes,University of Nantes,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30677/Mr-Donald-Wills-Douglas,Donald Wills Douglas,Founder,McDonnell Douglas Corporation,McDonnell Douglas Corporation,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30679/Mr-William-F-Gibbs,William F. Gibbs,,"Gibbs & Cox, Inc.","Gibbs & Cox, Inc.",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30680/Dr-Clifford-C-Furnas,Clifford C. Furnas,,University of Buffalo,University of Buffalo,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30681/Dr-Charles-F-Fogarty,Charles F. Fogarty,,Independent Consultant,Independent Consultant,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30682/Dr-James-B-Fisk,James B. Fisk,,AT&T Bell Laboratories,AT&T Bell Laboratories,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30683/Dr-Antonio-Ferri,Antonio Ferri,Professor,New York University,New York University,,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30684/Dr-Lillian-Moller-Gilbreth,Lillian Moller Gilbreth,,"Gilbreth, Inc.","Gilbreth, Inc.",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/30685/Dr-Hugh-L-Dryden,Hugh L. Dryden,,National Bureau of Standards,National Bureau of Standards,,,Y
