id,govid,govname,award,profile_url,name,title,affiliation,other_affiliations,location,year,deceased
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107867/Dr-Geraldine-Knatz,Geraldine Knatz,Professor of the Practice of Policy & Engineering,University of Southern California,University of Southern California,"Long Beach, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107868/Professor-Jan-P-Allebach,Jan P. Allebach,Hewlett-Packard Distinguished Professor of Electrical and Computer Engineering,Purdue University,Purdue University,"Portland, Oregon, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107869/Dr-Alan-N-Willson-Jr,Alan N. Willson,Charles P. Reames Professor Emeritus,"University of California, Los Angeles","University of California, Los Angeles","Los Angeles, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107870/Dr-Bob-Ewald-Schutz,Bob Ewald Schutz,Professor of Aerospace Engng and Engng Mechanics,The University of Texas at Austin,"The University of Texas at Austin, The University of Texas at Austin",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107871/Dr-Gregory-L-Fenves,Gregory L. Fenves,President,Emory University,"Emory University, The University of Texas at Austin, University of California, Berkeley","Atlanta, Georgia, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107872/Professor-Chandrashekhar-Janardan-Joshi,Chandrashekhar Janardan Joshi,Distinguished Professor,"University of California, Los Angeles","University of California, Los Angeles","Los Angeles, California, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107873/Dr-Martin-Balser,Martin Balser,Distinguished Technical Fellow,Northrop Grumman Corporation,"Northrop Grumman Corporation, XonTech, Inc.",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107874/Dr-Craig-E-Philip,Craig E. Philip,"Research Professor and Director, VECTOR",Vanderbilt University,"Vanderbilt University, Ingram Barge Company, Southern Pacific Transportation Company","Nashville, Tennessee, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107875/Lt-Gen-Ret-Thomas-Patten-Stafford,Lt. Gen. (Ret.) Thomas Patten Stafford,Independent Consultant (retired),Independent Consultant,"Independent Consultant, U.S. Air Force, Defense Technologies, Inc.",,,Y
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107876/Professor-Jery-Russell-Stedinger,Jery Russell Stedinger,Professor of Civil and Environmental Engineering,Cornell University,Cornell University,"Ithaca, New York, United States",,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107877/Dr-Harrison-H-Barrett,Harrison H. Barrett,Regents Professor,University of Arizona,University of Arizona,"Tucson, Arizona, United States",,
