id,govid,govname,award,year,name,affiliation,deceased,profile_url,membership_type,primary_section,biographical_memoir_available,public_welfare_medal,secondary_section,location
2023,222,National Academy of Sciences,NAS Member,,F. F. Russell,,Y,https://www.nasonline.org/directory-entry/f-f-russell-dqmkxi/,,,No,1935,,
2023,222,National Academy of Sciences,NAS Member,,Carl Sagan,Cornell University,Y,https://www.nasonline.org/directory-entry/carl-sagan-nipwpd/,,Section 12: Astronomy,Yes,1994,,
2023,222,National Academy of Sciences,NAS Member,,John E. Sawyer,Andrew W. Mellon Foundation,Y,https://www.nasonline.org/directory-entry/john-e-sawyer-0n6prk/,,Section 53: Social and Political Sciences,No,1988,,
2023,222,National Academy of Sciences,NAS Member,,Eugenie C. Scott,National Center for Science Education,,https://www.nasonline.org/directory-entry/eugenie-c-scott-tmud7w/,,Section 27: Evolutionary Biology,,2010,Section 51: Anthropology,
2023,222,National Academy of Sciences,NAS Member,,Ismail Serageldin,Bibliotheca Alexandrina,,https://www.nasonline.org/directory-entry/ismail-serageldin-5ag95l/,,Section 64: Human Environmental Sciences,,2011,Section 53: Social and Political Sciences,
2023,222,National Academy of Sciences,NAS Member,,Harold T. Shapiro,Princeton University,,https://www.nasonline.org/directory-entry/harold-t-shapiro-iin5ax/,,,,2012,,
2023,222,National Academy of Sciences,NAS Member,,George H. Shull,,Y,https://www.nasonline.org/directory-entry/george-h-shull-hp70a6/,,,No,1948,,
2023,222,National Academy of Sciences,NAS Member,,Charles Stiles,,Y,https://www.nasonline.org/directory-entry/charles-stiles-w0k34o/,,,No,1921,,
2023,222,National Academy of Sciences,NAS Member,,Maurice F. Strong,United Nations,Y,https://www.nasonline.org/directory-entry/maurice-f-strong-yfykr3/,,Section 64: Human Environmental Sciences,No,2004,,
2023,222,National Academy of Sciences,NAS Member,,Walter S. Sullivan,The New York Times Company,Y,https://www.nasonline.org/directory-entry/walter-s-sullivan-nvswxr/,,,No,1980,,
2023,222,National Academy of Sciences,NAS Member,,George W. Thorn,Harvard University,Y,https://www.nasonline.org/directory-entry/george-w-thorn-saw7gw/,,Section 42: Medical Physiology and Metabolism,No,1997,,
2023,222,National Academy of Sciences,NAS Member,,Russell E. Train,World Wildlife Fund,Y,https://www.nasonline.org/directory-entry/russell-e-train-zm6cwo/,,,No,1981,,
2023,222,National Academy of Sciences,NAS Member,,Neil deGrasse Tyson,American Museum of Natural History,,https://www.nasonline.org/directory-entry/neil-degrasse-tyson-renozk/,,,,2015,,
2023,222,National Academy of Sciences,NAS Member,,August Vollmer,,Y,https://www.nasonline.org/directory-entry/august-vollmer-bfadn9/,,,No,1934,,
2023,222,National Academy of Sciences,NAS Member,,Alan T. Waterman,,Y,https://www.nasonline.org/directory-entry/alan-t-waterman-hvxhkb/,,,No,1960,,
2023,222,National Academy of Sciences,NAS Member,1926,Richard Willstaetter,,Y,https://www.nasonline.org/directory-entry/richard-willstaetter-bscgte/,International Member,,No,,,
